Admin2,9/19/20
Bracken,39
Breathitt,82
Breckinridge,124
Bullitt,804
Butler,333
Caldwell,137
Calloway,517
Campbell,825
Carlisle,74
Carroll,195
Carter,155
Casey,266
Christian,1107
Clark,298
Clay,289
Clinton,101
Crittenden,118
Cumberland,97
Daviess,1266
Edmonson,130
Elliott,35
Estill,125
Fayette,5378
Fleming,82
Floyd,170
Franklin,594
Fulton,139
Gallatin,96
Garrard,147
Grant,153
Graves,707
Grayson,364
Green,250
Greenup,352
Hancock,73
Hardin,1197
Harlan,366
Harrison,167
Hart,162
Henderson,648
Henry,186
Hickman,74
Hopkins,594
Jackson,343
Jefferson,14424
Jessamine,571
Johnson,145
Kenton,1939
Knott,139
Knox,440
Larue,112
Laurel,761
Lawrence,54
Lee,18
Leslie,53
Letcher,116
Lewis,217
Lincoln,179
Livingston,81
Logan,545
Lyon,66
Madison,1601
Magoffin,79
Marion,215
Marshall,260
Martin,74
Mason,120
McCracken,682
McCreary,140
McLean,72
Meade,188
Menifee,42
Mercer,193
Metcalfe,106
Monroe,200
Montgomery,237
Morgan,52
Muhlenberg,732
Nelson,473
Nicholas,29
Ohio,438
Oldham,1059
Out of KY,0
Owen,91
Owsley,37
Pendleton,92
Perry,326
Pike,381
Powell,90
Pulaski,728
Robertson,12
Rockcastle,159
Rowan,203
Russell,238
Scott,715
Shelby,1026
Simpson,264
Spencer,197
Taylor,281
Todd,178
Trigg,161
Trimble,57
Unassigned,0
Union,285
Warren,4125
Washington,141
Wayne,125
Webster,147
Whitley,277
Wolfe,30
Woodford,252
Acadia,2917
Allen,1530
Ascension,3657
Assumption,740
Avoyelles,1461
Beauregard,980
Bienville,452
Bossier,3068
Caddo,8188
Calcasieu,7708
Caldwell,298
Cameron,220
Catahoula,426
Claiborne,485
Concordia,499
De Soto,876
East Baton Rouge,14813
East Carroll,541
East Feliciana,1713
Evangeline,1288
Franklin,1179
Grant,479
Iberia,2868
Iberville,1403
Jackson,611
Jefferson,17198
Jefferson Davis,1219
LaSalle,417
Lafayette,8778
Lafourche,3523
Lincoln,1097
Livingston,3677
Madison,861
Morehouse,743
Natchitoches,1071
Orleans,12287
Ouachita,6010
Out of LA,0
Plaquemines,661
Pointe Coupee,1037
Rapides,4067
Red River,351
Richland,746
Sabine,825
St. Bernard,1350
St. Charles,1756
St. Helena,399
St. James,792
St. John the Baptist,1574
St. Landry,3248
St. Martin,2062
St. Mary,1865
St. Tammany,6779
Tangipahoa,4365
Tensas,158
Terrebonne,3566
Unassigned,190
Union,940
Vermilion,1991
Vernon,1024
Washington,1587
Webster,1174
West Baton Rouge,878
West Carroll,336
West Feliciana,678
Winn,603
Androscoggin,674
Aroostook,41
Cumberland,2273
Franklin,58
Hancock,53
Kennebec,205
Knox,35
Lincoln,39
Out of ME,0
Oxford,114
Penobscot,252
Piscataquis,8
Sagadahoc,64
Somerset,85
Unassigned,0
Waldo,73
Washington,15
York,1045
Allegany,443
